// General information: 
//  MT Manager version: 2020.3.0 
//  XDA version: 2020.3.0 build 5439 rev 106958 built on 2020-11-10
// Device information: 
//  DeviceId: 00B46A02
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
30829,2,0,-66.0000,9.613386,-1.027583,-1.793919,0.071724,-0.110932,0.019596,0.017285,-0.006746,-0.018894,-0.062180,-0.540298,-0.914439,0.096133,-0.010283,-0.017937,1.000000,0.000086,-0.000034,-0.000094,0.999972,0.000533,-0.006403,0.003855,0.058299,-0.733916,0.441423,0.999888,0.007704,0.012809,-0.007717,0.999970,0.001017,-0.012801,-0.001116,0.999917
30830,2,0,-66.0000,9.623208,-1.076806,-1.811806,0.032755,-0.077980,0.038258,0.006356,-0.006866,-0.019006,-0.056801,-0.543507,-0.913199,0.096232,-0.010777,-0.018115,1.000000,0.000032,-0.000034,-0.000095,0.999972,0.000454,-0.006416,0.003883,0.049213,-0.735387,0.444625,0.999888,0.007759,0.012835,-0.007771,0.999969,0.000859,-0.012828,-0.000959,0.999917
30831,2,0,-66.0000,9.589355,-1.078854,-1.752232,0.072813,-0.042509,-0.005401,0.003397,-0.003792,-0.014188,-0.066790,-0.537072,-0.908586,0.095893,-0.010795,-0.017521,1.000000,0.000017,-0.000019,-0.000071,0.999972,0.000401,-0.006428,0.003869,0.043069,-0.736754,0.443080,0.999887,0.007732,0.012858,-0.007743,0.999970,0.000752,-0.012852,-0.000851,0.999917
30832,2,0,-66.0000,9.636548,-1.092220,-1.786437,0.047806,-0.048861,0.048483,0.002318,-0.005366,-0.012352,-0.063081,-0.529538,-0.904694,0.096365,-0.010928,-0.017862,1.000000,0.000012,-0.000027,-0.000062,0.999972,0.000348,-0.006429,0.003870,0.037068,-0.736892,0.443187,0.999887,0.007734,0.012861,-0.007743,0.999970,0.000647,-0.012855,-0.000746,0.999917
30833,2,0,-66.0000,9.593693,-1.132238,-1.793641,0.011167,-0.018355,0.012668,0.005252,-0.003270,-0.011352,-0.064309,-0.538858,-0.919455,0.095937,-0.011327,-0.017935,1.000000,0.000026,-0.000016,-0.000057,0.999972,0.000308,-0.006439,0.003906,0.032362,-0.738003,0.447356,0.999887,0.007807,0.012880,-0.007815,0.999969,0.000565,-0.012875,-0.000665,0.999917
30834,2,0,-66.0000,9.616257,-1.124621,-1.800710,0.014252,-0.027759,0.035092,0.005497,-0.004787,-0.011258,-0.061091,-0.539344,-0.908425,0.096162,-0.011251,-0.018005,1.000000,0.000027,-0.000024,-0.000056,0.999972,0.000265,-0.006440,0.003920,0.027446,-0.738083,0.449075,0.999886,0.007837,0.012882,-0.007844,0.999969,0.000479,-0.012877,-0.000580,0.999917
30835,2,0,-66.0000,9.661341,-1.110361,-1.814455,0.020217,-0.046361,0.079941,0.005007,-0.001754,-0.011448,-0.058112,-0.537593,-0.913642,0.096613,-0.011109,-0.018144,1.000000,0.000025,-0.000009,-0.000057,0.999971,0.000228,-0.006455,0.003933,0.023239,-0.739782,0.450600,0.999886,0.007864,0.012911,-0.007870,0.999969,0.000406,-0.012908,-0.000507,0.999917
30836,2,0,-66.0000,9.627845,-1.125834,-1.854248,-0.028151,-0.054619,0.056323,0.008119,0.000497,-0.008923,-0.058030,-0.531186,-0.919431,0.096278,-0.011262,-0.018543,1.000000,0.000041,0.000002,-0.000045,0.999971,0.000212,-0.006472,0.003956,0.021342,-0.741692,0.453147,0.999885,0.007908,0.012945,-0.007914,0.999969,0.000372,-0.012941,-0.000475,0.999916
30837,2,0,-66.0000,9.608869,-1.098978,-1.803846,0.022984,-0.049155,0.025455,0.003439,-0.000295,-0.009801,-0.072818,-0.536709,-0.912933,0.096088,-0.010994,-0.018039,1.000000,0.000017,-0.000001,-0.000049,0.999971,0.000180,-0.006486,0.003929,0.017727,-0.743273,0.450164,0.999885,0.007856,0.012972,-0.007861,0.999969,0.000309,-0.012969,-0.000411,0.999916
30838,2,0,-66.0000,9.603397,-1.103131,-1.827163,0.000340,-0.057982,0.024858,0.010288,-0.002168,-0.007423,-0.067198,-0.536158,-0.902720,0.096034,-0.011034,-0.018271,1.000000,0.000051,-0.000011,-0.000037,0.999971,0.000165,-0.006487,0.003962,0.016003,-0.743434,0.453944,0.999884,0.007922,0.012975,-0.007926,0.999969,0.000279,-0.012972,-0.000382,0.999916
30839,2,0,-66.0000,9.623840,-1.067959,-1.813684,0.034313,-0.079661,0.038239,0.006686,-0.001387,-0.010138,-0.063452,-0.537813,-0.909122,0.096238,-0.010684,-0.018137,1.000000,0.000033,-0.000007,-0.000051,0.999971,0.000138,-0.006504,0.004033,0.012822,-0.745381,0.462085,0.999883,0.008064,0.013009,-0.008068,0.999967,0.000224,-0.013007,-0.000329,0.999915
30840,2,0,-66.0000,9.609083,-1.096945,-1.803948,0.023448,-0.049750,0.025451,0.005472,0.000383,-0.005440,-0.063731,-0.532549,-0.914575,0.096090,-0.010972,-0.018040,1.000000,0.000027,0.000002,-0.000027,0.999971,0.000133,-0.006511,0.004039,0.012202,-0.746160,0.462779,0.999883,0.008076,0.013023,-0.008080,0.999967,0.000213,-0.013020,-0.000318,0.999915
30841,2,0,-66.0000,9.623956,-1.067036,-1.813610,0.034658,-0.080018,0.038235,0.001324,0.000057,-0.001742,-0.063102,-0.544887,-0.914723,0.096239,-0.010671,-0.018136,1.000000,0.000007,0.000000,-0.000009,0.999971,0.000135,-0.006508,0.004031,0.012496,-0.745780,0.461797,0.999883,0.008059,0.013016,-0.008063,0.999967,0.000218,-0.013014,-0.000323,0.999915
30842,2,0,-66.0000,9.609154,-1.096505,-1.803835,0.023795,-0.050106,0.025448,-0.001924,0.001148,-0.001405,-0.064582,-0.540626,-0.906598,0.096091,-0.010966,-0.018039,1.000000,-0.000010,0.000006,-0.000007,0.999971,0.000140,-0.006507,0.003996,0.013089,-0.745682,0.457865,0.999883,0.007990,0.013014,-0.007994,0.999968,0.000228,-0.013012,-0.000332,0.999915
30843,2,0,-66.0000,9.620257,-1.086694,-1.757260,0.069614,-0.033109,0.026635,-0.001501,-0.000212,0.000216,-0.059018,-0.540948,-0.910419,0.096203,-0.010867,-0.017572,1.000000,-0.000008,-0.000001,0.000001,0.999971,0.000152,-0.006497,0.003971,0.014449,-0.744599,0.454915,0.999884,0.007939,0.012995,-0.007943,0.999968,0.000252,-0.012993,-0.000355,0.999916
30844,2,0,-66.0000,9.609183,-1.096306,-1.803803,0.024138,-0.050562,0.025445,-0.009674,0.001603,-0.000421,-0.063524,-0.535979,-0.908102,0.096092,-0.010964,-0.018038,1.000000,-0.000048,0.000008,-0.000002,0.999971,0.000153,-0.006496,0.003897,0.014680,-0.744415,0.446520,0.999885,0.007793,0.012992,-0.007796,0.999970,0.000256,-0.012990,-0.000357,0.999916
30845,2,0,-66.0000,9.603637,-1.101262,-1.827031,0.001487,-0.059403,0.024849,-0.005717,0.001133,0.005345,-0.061483,-0.538612,-0.913098,0.096037,-0.011011,-0.018271,1.000000,-0.000029,0.000006,0.000027,0.999972,0.000183,-0.006477,0.003831,0.018087,-0.742247,0.438911,0.999887,0.007660,0.012954,-0.007664,0.999971,0.000316,-0.012951,-0.000415,0.999916
30846,2,0,-67.0000,9.622356,-1.114717,-1.777618,0.039192,-0.021452,0.035676,-0.010507,-0.001487,0.001511,-0.065668,-0.533248,-0.912111,0.096224,-0.011147,-0.017775,1.000000,-0.000053,-0.000007,0.000008,0.999972,0.000183,-0.006457,0.003754,0.018193,-0.739975,0.430057,0.999888,0.007505,0.012915,-0.007510,0.999972,0.000318,-0.012912,-0.000414,0.999917
30847,2,0,-67.0000,9.616814,-1.119655,-1.800833,0.016520,-0.030236,0.035081,-0.009633,0.005102,0.003966,-0.065453,-0.535847,-0.917179,0.096168,-0.011196,-0.018010,1.000000,-0.000048,0.000026,0.000020,0.999972,0.000210,-0.006459,0.003685,0.021339,-0.740281,0.422140,0.999889,0.007367,0.012920,-0.007372,0.999973,0.000372,-0.012917,-0.000468,0.999916
30848,2,0,-67.0000,9.624536,-1.142710,-1.797555,0.008564,-0.009533,0.044722,-0.008241,0.003487,0.000794,-0.064123,-0.533470,-0.909967,0.096245,-0.011427,-0.017977,1.000000,-0.000041,0.000017,0.000004,0.999973,0.000223,-0.006462,0.003616,0.022889,-0.740631,0.414276,0.999890,0.007230,0.012926,-0.007236,0.999974,0.000399,-0.012923,-0.000493,0.999916
30849,2,0,-66.0000,9.616907,-1.119742,-1.800284,0.016854,-0.030570,0.035080,-0.003316,0.002763,0.001767,-0.064863,-0.545866,-0.913555,0.096169,-0.011197,-0.018004,1.000000,-0.000017,0.000014,0.000009,0.999973,0.000241,-0.006462,0.003591,0.024947,-0.740565,0.411369,0.999891,0.007179,0.012925,-0.007185,0.999974,0.000435,-0.012921,-0.000528,0.999916
30850,2,0,-67.0000,9.588907,-1.131339,-1.816501,-0.008691,-0.030172,0.012065,-0.002060,0.004492,0.001457,-0.063932,-0.537591,-0.906751,0.095889,-0.011313,-0.018167,1.000000,-0.000010,0.000022,0.000007,0.999973,0.000266,-0.006467,0.003552,0.027880,-0.741196,0.406807,0.999891,0.007099,0.012936,-0.007106,0.999975,0.000487,-0.012932,-0.000578,0.999916
30851,2,0,-66.0000,9.588993,-1.131502,-1.815943,-0.008544,-0.030415,0.012064,-0.002373,0.007680,0.002793,-0.060946,-0.536144,-0.903944,0.095889,-0.011314,-0.018163,1.000000,-0.000012,0.000038,0.000014,0.999973,0.000308,-0.006484,0.003523,0.032639,-0.743191,0.403485,0.999891,0.007041,0.012971,-0.007049,0.999975,0.000570,-0.012966,-0.000661,0.999916
30852,2,0,-66.0000,9.586938,-1.103840,-1.795122,0.022615,-0.042891,0.003012,-0.000313,0.003188,0.001336,-0.061010,-0.535462,-0.918728,0.095869,-0.011038,-0.017953,1.000000,-0.000002,0.000016,0.000007,0.999973,0.000331,-0.006485,0.003493,0.035339,-0.743230,0.400003,0.999891,0.006981,0.012971,-0.006989,0.999975,0.000617,-0.012967,-0.000707,0.999916
30853,2,0,-66.0000,9.613390,-1.140320,-1.742310,0.052191,0.015981,0.023484,0.001365,0.003555,0.002646,-0.059018,-0.542034,-0.910920,0.096134,-0.011402,-0.017425,1.000000,0.000007,0.000018,0.000013,0.999973,0.000361,-0.006483,0.003464,0.038782,-0.743061,0.396680,0.999892,0.006923,0.012968,-0.006932,0.999976,0.000677,-0.012963,-0.000767,0.999916
30854,2,0,-66.0000,9.624898,-1.143493,-1.795120,0.009607,-0.010668,0.044720,0.000520,0.006278,-0.000595,-0.069298,-0.542919,-0.908998,0.096248,-0.011435,-0.017954,1.000000,0.000003,0.000031,-0.000003,0.999973,0.000385,-0.006502,0.003438,0.041607,-0.745187,0.393657,0.999892,0.006870,0.013006,-0.006880,0.999976,0.000726,-0.013000,-0.000816,0.999915
30855,2,0,-66.0000,9.627125,-1.171216,-1.814994,-0.021215,0.001366,0.053773,-0.000668,0.002878,-0.001715,-0.061867,-0.536909,-0.912506,0.096271,-0.011713,-0.018151,1.000000,-0.000003,0.000014,-0.000009,0.999973,0.000398,-0.006511,0.003423,0.043039,-0.746246,0.391993,0.999892,0.006841,0.013024,-0.006851,0.999976,0.000751,-0.013019,-0.000840,0.999915
30856,2,0,-66.0000,9.589366,-1.131778,-1.813802,-0.007655,-0.031411,0.012062,0.002266,0.004974,-0.000715,-0.061674,-0.536852,-0.914056,0.095893,-0.011318,-0.018141,1.000000,0.000011,0.000025,-0.000004,0.999973,0.000420,-0.006524,0.003406,0.045631,-0.747781,0.390050,0.999892,0.006807,0.013051,-0.006818,0.999976,0.000796,-0.013045,-0.000885,0.999915
30857,2,0,-66.0000,9.597150,-1.154673,-1.810286,-0.015612,-0.010668,0.021708,0.006592,0.005456,-0.002887,-0.065724,-0.533437,-0.909088,0.095971,-0.011548,-0.018106,1.000000,0.000033,0.000027,-0.000014,0.999973,0.000438,-0.006546,0.003412,0.047665,-0.750280,0.390688,0.999891,0.006818,0.013094,-0.006830,0.999976,0.000832,-0.013089,-0.000921,0.999914
30858,2,0,-66.0000,9.584084,-1.136382,-1.835914,-0.030130,-0.040377,0.011470,0.008093,0.005668,-0.003103,-0.057136,-0.539518,-0.916130,0.095840,-0.011365,-0.018362,1.000000,0.000040,0.000028,-0.000016,0.999972,0.000459,-0.006569,0.003425,0.050065,-0.752891,0.392209,0.999890,0.006845,0.013140,-0.006857,0.999976,0.000874,-0.013134,-0.000964,0.999913
30859,2,0,-65.0000,9.567231,-1.138027,-1.805339,-0.010010,-0.022700,-0.010359,0.008339,0.004152,-0.003008,-0.065237,-0.537928,-0.911962,0.095672,-0.011381,-0.018056,1.000000,0.000042,0.000021,-0.000015,0.999972,0.000475,-0.006585,0.003438,0.051861,-0.754776,0.393634,0.999890,0.006870,0.013173,-0.006882,0.999976,0.000905,-0.013166,-0.000996,0.999913
30860,2,0,-65.0000,9.638806,-1.160713,-1.765644,0.025387,0.017685,0.054956,0.010496,0.007299,-0.006680,-0.068263,-0.536323,-0.914008,0.096387,-0.011609,-0.017661,1.000000,0.000052,0.000036,-0.000033,0.999972,0.000489,-0.006624,0.003466,0.053365,-0.759279,0.396774,0.999888,0.006924,0.013252,-0.006937,0.999976,0.000931,-0.013245,-0.001023,0.999912
30861,2,0,-65.0000,9.580764,-1.155502,-1.777727,0.005013,0.006455,-0.000120,0.012665,0.004634,-0.005180,-0.065348,-0.533798,-0.897136,0.095807,-0.011556,-0.017780,1.000000,0.000063,0.000023,-0.000026,0.999972,0.000502,-0.006651,0.003534,0.054844,-0.762378,0.404661,0.999887,0.007062,0.013306,-0.007075,0.999975,0.000957,-0.013299,-0.001051,0.999911
30862,262146,0,-65.0000,9.573243,-1.132317,-1.780018,0.013329,-0.014643,-0.009770,0.014098,0.006518,-0.003965,-0.066572,-0.530277,-0.902617,0.095732,-0.011324,-0.017804,1.000000,0.000070,0.000033,-0.000020,0.999971,0.000529,-0.006680,0.003577,0.057839,-0.765668,0.409565,0.999885,0.007148,0.013363,-0.007162,0.999974,0.001009,-0.013355,-0.001105,0.999910
30863,2,0,-65.0000,9.609130,-1.143294,-1.759836,0.031067,0.005453,0.022888,0.011959,0.004011,-0.011283,-0.058785,-0.537593,-0.916494,0.096090,-0.011437,-0.017601,1.000000,0.000060,0.000020,-0.000056,0.999971,0.000516,-0.006721,0.003644,0.056342,-0.770345,0.417176,0.999883,0.007280,0.013445,-0.007294,0.999973,0.000983,-0.013437,-0.001081,0.999909
30864,2,0,-65.0000,9.586807,-1.149214,-1.752567,0.028357,0.014479,0.000469,0.012312,0.004322,-0.008232,-0.057177,-0.542981,-0.918378,0.095867,-0.011495,-0.017528,1.000000,0.000062,0.000022,-0.000041,0.999970,0.000517,-0.006752,0.003683,0.056442,-0.773892,0.421713,0.999882,0.007360,0.013507,-0.007374,0.999972,0.000985,-0.013499,-0.001084,0.999908
30865,2,0,-65.0000,9.596275,-1.123816,-1.785106,0.016766,-0.024423,0.012647,0.010880,0.002437,-0.009447,-0.062139,-0.536670,-0.905418,0.095962,-0.011242,-0.017853,1.000000,0.000054,0.000012,-0.000047,0.999970,0.000505,-0.006776,0.003689,0.055057,-0.776681,0.422327,0.999881,0.007370,0.013555,-0.007384,0.999972,0.000961,-0.013548,-0.001061,0.999908
30866,2,0,-65.0000,9.604144,-1.145937,-1.781647,0.008830,-0.003717,0.022297,0.014785,0.004280,-0.013240,-0.055176,-0.544215,-0.913331,0.096040,-0.011464,-0.017819,1.000000,0.000074,0.000021,-0.000066,0.999970,0.000489,-0.006820,0.003745,0.053089,-0.781755,0.428798,0.999879,0.007483,0.013644,-0.007497,0.999971,0.000926,-0.013636,-0.001029,0.999906
30867,2,0,-65.0000,9.613659,-1.120246,-1.814116,-0.002779,-0.042673,0.034474,0.010458,0.003797,-0.011069,-0.065214,-0.540420,-0.908707,0.096136,-0.011207,-0.018144,1.000000,0.000052,0.000019,-0.000055,0.999969,0.000476,-0.006855,0.003753,0.051626,-0.785773,0.429740,0.999878,0.007500,0.013714,-0.007513,0.999971,0.000901,-0.013707,-0.001004,0.999906
30868,2,0,-65.0000,9.616028,-1.147158,-1.833920,-0.033554,-0.030566,0.043537,0.010281,0.003641,-0.012594,-0.059543,-0.529770,-0.911800,0.096159,-0.011477,-0.018342,1.000000,0.000051,0.000018,-0.000063,0.999969,0.000456,-0.006895,0.003787,0.049212,-0.790337,0.433674,0.999876,0.007568,0.013794,-0.007581,0.999971,0.000859,-0.013787,-0.000963,0.999904
30869,2,0,-65.0000,9.614097,-1.118344,-1.812970,-0.002415,-0.043027,0.034472,0.014470,0.007468,-0.011907,-0.061452,-0.542847,-0.905831,0.096140,-0.011188,-0.018134,1.000000,0.000072,0.000037,-0.000060,0.999968,0.000451,-0.006950,0.003837,0.048573,-0.796584,0.439349,0.999874,0.007667,0.013903,-0.007680,0.999970,0.000848,-0.013896,-0.000954,0.999903
30870,2,0,-65.0000,9.614337,-1.117475,-1.812234,-0.002229,-0.043223,0.034472,0.014962,0.004435,-0.011715,-0.061187,-0.541154,-0.920191,0.096142,-0.011179,-0.018125,1.000000,0.000075,0.000022,-0.000059,0.999968,0.000441,-0.006991,0.003893,0.047391,-0.801262,0.445740,0.999872,0.007779,0.013984,-0.007791,0.999969,0.000827,-0.013977,-0.000936,0.999902
30871,2,0,-65.0000,9.597590,-1.118292,-1.781502,0.017909,-0.025616,0.012642,0.014293,0.007311,-0.013433,-0.065580,-0.533305,-0.909373,0.095975,-0.011188,-0.017819,1.000000,0.000071,0.000037,-0.000067,0.999967,0.000432,-0.007048,0.003933,0.046307,-0.807823,0.450363,0.999870,0.007859,0.014099,-0.007872,0.999969,0.000808,-0.014092,-0.000919,0.999900
30872,2,0,-65.0000,9.635140,-1.080990,-1.797325,0.032002,-0.065175,0.047818,0.015032,0.002762,-0.013145,-0.059826,-0.539377,-0.910730,0.096350,-0.010815,-0.017975,1.000000,0.000075,0.000014,-0.000066,0.999967,0.000412,-0.007086,0.003991,0.043954,-0.812134,0.457071,0.999868,0.007977,0.014174,-0.007988,0.999968,0.000767,-0.014167,-0.000880,0.999899
30873,2,0,-65.0000,9.618356,-1.081871,-1.766717,0.052128,-0.047529,0.025988,0.010143,0.006985,-0.009737,-0.063243,-0.535247,-0.909924,0.096182,-0.010823,-0.017671,1.000000,0.000051,0.000035,-0.000049,0.999966,0.000410,-0.007132,0.004017,0.043749,-0.817466,0.459968,0.999866,0.008027,0.014267,-0.008039,0.999967,0.000763,-0.014260,-0.000878,0.999898
30874,2,0,-65.0000,9.596068,-1.087701,-1.759325,0.049418,-0.038498,0.003570,0.007211,0.004885,-0.010736,-0.066021,-0.534506,-0.907011,0.095960,-0.010882,-0.017596,1.000000,0.000036,0.000024,-0.000054,0.999966,0.000397,-0.007172,0.004033,0.042204,-0.822055,0.461897,0.999865,0.008061,0.014347,-0.008072,0.999967,0.000737,-0.014341,-0.000852,0.999897
