// General information: 
//  MT Manager version: 2020.5.0 
//  XDA version: 2020.5.0 build 5678 rev 108182 built on 2021-02-04
// Device information: 
//  DeviceId: 00B46A01
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
08622,9.740743,-0.290167,-0.779352,-0.056183,-0.029328,-0.036714,-0.014544,0.001506,-0.001386,0.480919,-0.021113,-0.783753,0.097407,-0.002903,-0.007794,1.000000,-0.000073,0.000008,-0.000007,-0.999997,-0.000611,-0.000251,0.002425,0.069928,0.028911,-0.277873,0.999988,-0.004850,-0.000505,0.004850,0.999987,0.001220,0.000499,-0.001223,0.999999
08623,9.740161,-0.342921,-0.766244,-0.063543,0.025005,-0.036656,-0.014295,0.004417,-0.002412,0.481906,-0.032676,-0.779422,0.097401,-0.003431,-0.007664,1.000000,-0.000071,0.000022,-0.000012,-0.999997,-0.000590,-0.000225,0.002519,0.067552,0.025975,-0.288649,0.999987,-0.005038,-0.000453,0.005038,0.999987,0.001179,0.000447,-0.001181,0.999999
08624,9.710272,-0.328615,-0.755847,-0.051658,0.015959,-0.067650,-0.004440,0.004208,-0.002301,0.483119,-0.034401,-0.776090,0.097103,-0.003287,-0.007560,1.000000,-0.000022,0.000021,-0.000012,-0.999996,-0.000570,-0.000195,0.002584,0.065217,0.022556,-0.296074,0.999987,-0.005167,-0.000394,0.005168,0.999986,0.001138,0.000388,-0.001140,0.999999
08625,9.752935,-0.343992,-0.725481,-0.025827,0.041696,-0.026882,-0.006314,-0.002191,-0.001920,0.488483,-0.033468,-0.780187,0.097529,-0.003441,-0.007254,1.000000,-0.000032,-0.000011,-0.000010,-0.999996,-0.000542,-0.000201,0.002637,0.062074,0.023237,-0.302198,0.999986,-0.005274,-0.000406,0.005275,0.999986,0.001083,0.000400,-0.001086,0.999999
08626,9.729766,-0.345110,-0.733257,-0.035257,0.040668,-0.049378,-0.003901,-0.002257,-0.006423,0.495596,-0.029001,-0.774382,0.097298,-0.003454,-0.007331,1.000000,-0.000020,-0.000011,-0.000032,-0.999996,-0.000495,-0.000199,0.002686,0.056709,0.022920,-0.307770,0.999985,-0.005372,-0.000400,0.005372,0.999985,0.000990,0.000395,-0.000992,0.999999
08627,9.733441,-0.325900,-0.748787,-0.042304,0.017910,-0.045156,0.002040,-0.004432,-0.002966,0.489245,-0.030885,-0.777554,0.097335,-0.003260,-0.007486,1.000000,0.000010,-0.000022,-0.000015,-0.999996,-0.000462,-0.000213,0.002697,0.052919,0.024568,-0.309040,0.999985,-0.005394,-0.000429,0.005394,0.999985,0.000924,0.000424,-0.000926,0.999999
08628,9.767018,-0.320862,-0.774594,-0.061268,0.004553,-0.009942,0.002020,-0.007867,-0.003356,0.490445,-0.030980,-0.776179,0.097670,-0.003210,-0.007742,1.000000,0.000010,-0.000039,-0.000017,-0.999996,-0.000420,-0.000247,0.002730,0.048000,0.028449,-0.312855,0.999985,-0.005460,-0.000497,0.005461,0.999985,0.000838,0.000492,-0.000840,1.000000
08629,9.740118,-0.340916,-0.767675,-0.063647,0.026531,-0.036661,0.006833,-0.007709,-0.002593,0.487032,-0.030243,-0.775664,0.097401,-0.003410,-0.007673,1.000000,0.000034,-0.000039,-0.000013,-0.999996,-0.000384,-0.000278,0.002717,0.043936,0.031919,-0.311347,0.999985,-0.005434,-0.000557,0.005434,0.999985,0.000767,0.000553,-0.000770,1.000000
08630,9.753388,-0.289319,-0.741034,-0.018455,-0.011176,-0.026935,0.008314,-0.009112,-0.001826,0.490684,-0.030436,-0.773749,0.097534,-0.002894,-0.007406,1.000000,0.000042,-0.000046,-0.000009,-0.999996,-0.000349,-0.000318,0.002714,0.039920,0.036508,-0.311000,0.999985,-0.005428,-0.000637,0.005428,0.999985,0.000697,0.000633,-0.000700,1.000000
08631,9.745971,-0.326824,-0.711434,-0.004385,0.035044,-0.035384,0.007858,-0.008062,0.001004,0.491816,-0.025815,-0.772859,0.097460,-0.003267,-0.007111,1.000000,0.000039,-0.000040,0.000005,-0.999996,-0.000330,-0.000356,0.002697,0.037738,0.040925,-0.309051,0.999985,-0.005394,-0.000714,0.005394,0.999985,0.000659,0.000711,-0.000662,1.000000
