// General information: 
//  MT Manager version: 2020.5.0 
//  XDA version: 2020.5.0 build 5678 rev 108182 built on 2021-02-04
// Device information: 
//  DeviceId: 00B41E96
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
08622,8.950687,-0.867500,3.982120,0.050345,0.018046,0.022035,-0.032881,0.006707,0.005280,0.398171,-0.367680,-0.771771,0.089508,-0.008666,0.039820,1.000000,-0.000164,0.000034,0.000026,0.999987,0.003425,0.001062,-0.003758,0.392021,0.123167,-0.430247,0.999969,-0.007509,-0.002150,0.007524,0.999948,0.006842,0.002098,-0.006858,0.999974
08623,8.914051,-0.851556,3.970206,0.049961,0.033261,-0.017567,-0.033926,0.009739,0.009508,0.400495,-0.374365,-0.768272,0.089143,-0.008505,0.039699,1.000000,-0.000170,0.000049,0.000048,0.999986,0.003303,0.001120,-0.003895,0.377963,0.129799,-0.445859,0.999967,-0.007782,-0.002265,0.007796,0.999948,0.006597,0.002214,-0.006614,0.999976
08624,8.875212,-0.876529,4.002186,0.001132,0.019449,-0.037473,-0.036300,0.007719,0.011301,0.404845,-0.373256,-0.770268,0.088754,-0.008753,0.040020,1.000000,-0.000181,0.000039,0.000057,0.999986,0.003168,0.001171,-0.004028,0.362501,0.135680,-0.461146,0.999965,-0.008048,-0.002368,0.008063,0.999947,0.006327,0.002317,-0.006346,0.999977
08625,8.906245,-0.909572,3.962162,0.043275,-0.020085,-0.022643,-0.026987,0.009400,0.012121,0.403115,-0.373256,-0.774040,0.089065,-0.009085,0.039619,1.000000,-0.000135,0.000047,0.000061,0.999986,0.003055,0.001234,-0.004124,0.349537,0.142805,-0.472137,0.999963,-0.008240,-0.002492,0.008255,0.999947,0.006101,0.002442,-0.006121,0.999978
08626,8.898073,-0.889628,3.969324,0.039123,0.003465,-0.028970,-0.026956,0.008681,0.014773,0.408200,-0.376124,-0.771538,0.088983,-0.008884,0.039691,1.000000,-0.000135,0.000043,0.000074,0.999986,0.002926,0.001294,-0.004208,0.334677,0.149645,-0.481803,0.999961,-0.008409,-0.002612,0.008424,0.999947,0.005841,0.002563,-0.005863,0.999980
08627,8.905345,-0.914241,3.963111,0.043326,-0.019488,-0.022642,-0.031764,0.006081,0.013054,0.404600,-0.368707,-0.768006,0.089055,-0.009130,0.039630,1.000000,-0.000159,0.000030,0.000065,0.999986,0.002795,0.001342,-0.004328,0.319658,0.155166,-0.495478,0.999959,-0.008648,-0.002708,0.008663,0.999947,0.005579,0.002660,-0.005602,0.999981
08628,8.911202,-0.921456,3.986481,0.024521,-0.018272,-0.007092,-0.027586,0.005440,0.016210,0.402648,-0.375392,-0.773826,0.089114,-0.009202,0.039864,1.000000,-0.000138,0.000027,0.000081,0.999986,0.002655,0.001388,-0.004410,0.303525,0.160387,-0.504969,0.999957,-0.008813,-0.002799,0.008828,0.999947,0.005297,0.002752,-0.005322,0.999982
08629,8.888459,-0.933065,3.990967,0.009536,-0.025505,-0.024817,-0.031064,0.007892,0.016931,0.402904,-0.372742,-0.769377,0.088887,-0.009317,0.039908,1.000000,-0.000155,0.000039,0.000085,0.999986,0.002509,0.001448,-0.004516,0.286793,0.167248,-0.517082,0.999955,-0.009025,-0.002919,0.009039,0.999947,0.005005,0.002874,-0.005032,0.999983
08630,8.910339,-0.926779,3.987177,0.024543,-0.017651,-0.007091,-0.030711,0.006887,0.015525,0.402089,-0.372742,-0.771152,0.089105,-0.009255,0.039870,1.000000,-0.000154,0.000034,0.000078,0.999985,0.002367,0.001500,-0.004615,0.270428,0.173187,-0.528441,0.999953,-0.009223,-0.003023,0.009237,0.999946,0.004720,0.002979,-0.004748,0.999984
08631,8.901506,-0.965144,4.008139,-0.005112,-0.047252,-0.002936,-0.028996,0.006390,0.012519,0.406787,-0.373769,-0.771159,0.089017,-0.009640,0.040080,1.000000,-0.000145,0.000032,0.000063,0.999985,0.002245,0.001547,-0.004715,0.256444,0.178499,-0.539946,0.999951,-0.009424,-0.003115,0.009438,0.999945,0.004476,0.003073,-0.004505,0.999985
