// General information: 
//  MT Manager version: 2020.3.0 
//  XDA version: 2020.3.0 build 5439 rev 106958 built on 2020-11-10
// Device information: 
//  DeviceId: 00B46A02
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
03987,2,0,-64.0000,9.321859,-1.633317,-2.668205,-0.015178,0.070256,0.019857,-0.005375,-0.002142,-0.002629,0.077214,-0.475446,-1.009882,0.093219,-0.016335,-0.026681,1.000000,-0.000027,-0.000011,-0.000013,-0.999687,0.006802,-0.003625,-0.023805,-0.769384,0.433874,2.725250,0.998840,0.047545,-0.007572,-0.047644,0.998774,-0.013427,0.006925,0.013773,0.999881
03988,2,0,-64.0000,9.331152,-1.651303,-2.641045,-0.000801,0.101009,0.024086,-0.008325,-0.006606,-0.002079,0.075780,-0.477034,-1.019429,0.093312,-0.016515,-0.026407,1.000000,-0.000042,-0.000033,-0.000010,-0.999688,0.006819,-0.003654,-0.023761,-0.771289,0.437123,2.720153,0.998844,0.047456,-0.007629,-0.047556,0.998778,-0.013461,0.006981,0.013808,0.999880
03989,2,0,-65.0000,9.325076,-1.591492,-2.643251,0.029055,0.050959,0.009392,-0.008624,-0.004816,-0.000085,0.077376,-0.482743,-1.017895,0.093251,-0.015916,-0.026430,1.000000,-0.000043,-0.000024,-0.000000,-0.999689,0.006833,-0.003681,-0.023710,-0.772762,0.440299,2.714389,0.998849,0.047356,-0.007685,-0.047457,0.998782,-0.013486,0.007037,0.013836,0.999880
03990,2,0,-63.0000,9.311351,-1.622689,-2.638389,0.011812,0.078858,0.000015,-0.004366,-0.003552,0.001986,0.075722,-0.482173,-1.006828,0.093114,-0.016227,-0.026382,1.000000,-0.000022,-0.000018,0.000010,-0.999689,0.006819,-0.003708,-0.023681,-0.771182,0.443253,2.711038,0.998851,0.047297,-0.007736,-0.047399,0.998785,-0.013459,0.007090,0.013810,0.999879
03991,2,0,-64.0000,9.309507,-1.642912,-2.652113,-0.009967,0.087912,0.005253,-0.001543,-0.009375,-0.007265,0.077791,-0.483852,-1.009557,0.093096,-0.016433,-0.026517,1.000000,-0.000008,-0.000047,-0.000036,-0.999689,0.006862,-0.003735,-0.023678,-0.775990,0.446486,2.710642,0.998851,0.047291,-0.007793,-0.047393,0.998785,-0.013543,0.007143,0.013897,0.999878
03992,2,0,-64.0000,9.312749,-1.601586,-2.626784,0.034068,0.068826,-0.005218,-0.001640,-0.007663,0.003171,0.082850,-0.482524,-1.021219,0.093129,-0.016015,-0.026264,1.000000,-0.000008,-0.000038,0.000016,-0.999689,0.006848,-0.003781,-0.023669,-0.774328,0.451771,2.709505,0.998851,0.047271,-0.007885,-0.047374,0.998786,-0.013514,0.007236,0.013872,0.999878
03993,2,0,-64.0000,9.309144,-1.642512,-2.653633,-0.009663,0.087190,0.005260,-0.005284,-0.006180,-0.004788,0.076858,-0.482487,-1.010537,0.093092,-0.016428,-0.026533,1.000000,-0.000026,-0.000031,-0.000024,-0.999690,0.006879,-0.003802,-0.023642,-0.777747,0.454190,2.706406,0.998853,0.047217,-0.007927,-0.047321,0.998787,-0.013573,0.007277,0.013933,0.999876
03994,2,0,-63.0000,9.343873,-1.618612,-2.650368,0.017515,0.070567,0.033481,-0.002041,-0.005834,0.000944,0.086290,-0.476043,-1.014123,0.093440,-0.016186,-0.026501,1.000000,-0.000010,-0.000029,0.000005,-0.999690,0.006870,-0.003836,-0.023630,-0.776705,0.458030,2.705023,0.998854,0.047193,-0.007994,-0.047298,0.998789,-0.013555,0.007345,0.013918,0.999876
03995,2,0,-64.0000,9.308839,-1.642181,-2.654910,-0.009339,0.086479,0.005267,-0.001741,-0.007624,-0.001051,0.072570,-0.480693,-1.018126,0.093089,-0.016423,-0.026545,1.000000,-0.000009,-0.000038,-0.000005,-0.999690,0.006884,-0.003873,-0.023616,-0.778191,0.462320,2.703407,0.998855,0.047164,-0.008069,-0.047271,0.998790,-0.013581,0.007419,0.013947,0.999875
03996,2,0,-64.0000,9.308674,-1.642063,-2.655560,-0.009184,0.086059,0.005270,0.004441,-0.006813,-0.002247,0.082240,-0.480302,-1.013831,0.093087,-0.016421,-0.026553,1.000000,0.000022,-0.000034,-0.000011,-0.999689,0.006883,-0.003903,-0.023632,-0.777913,0.465734,2.705219,0.998853,0.047196,-0.008129,-0.047303,0.998788,-0.013576,0.007478,0.013945,0.999875
03997,2,0,-64.0000,9.340896,-1.647484,-2.606160,0.036830,0.119816,0.023109,0.001908,-0.006779,-0.001370,0.074131,-0.473308,-1.024284,0.093410,-0.016475,-0.026059,1.000000,0.000010,-0.000034,-0.000007,-0.999689,0.006890,-0.003936,-0.023635,-0.778634,0.469544,2.705565,0.998852,0.047202,-0.008195,-0.047310,0.998788,-0.013589,0.007544,0.013961,0.999874
03998,2,0,-64.0000,9.308386,-1.641680,-2.656807,-0.008861,0.085402,0.005276,0.006664,-0.009055,-0.007510,0.079965,-0.481856,-1.020279,0.093084,-0.016419,-0.026564,1.000000,0.000033,-0.000045,-0.000038,-0.999688,0.006912,-0.003960,-0.023669,-0.781130,0.472412,2.709395,0.998848,0.047269,-0.008245,-0.047378,0.998784,-0.013632,0.007591,0.014007,0.999873
03999,2,0,-64.0000,9.306542,-1.661914,-2.670507,-0.030637,0.094458,0.010521,0.006974,-0.006846,-0.003126,0.071885,-0.478464,-1.021241,0.093066,-0.016620,-0.026702,1.000000,0.000035,-0.000034,-0.000016,-0.999687,0.006918,-0.003989,-0.023699,-0.781753,0.475753,2.712776,0.998845,0.047328,-0.008303,-0.047438,0.998781,-0.013643,0.007648,0.014021,0.999872
04000,2,0,-64.0000,9.293659,-1.684207,-2.724737,-0.088649,0.081494,0.016775,0.009003,-0.005011,-0.010451,0.082487,-0.474380,-1.019560,0.092936,-0.016846,-0.027246,1.000000,0.000045,-0.000025,-0.000052,-0.999686,0.006937,-0.003987,-0.023753,-0.783876,0.475646,2.719004,0.998840,0.047436,-0.008301,-0.047547,0.998775,-0.013680,0.007642,0.014059,0.999872
04001,2,0,-64.0000,9.285240,-1.653104,-2.680581,-0.039994,0.081631,-0.008317,0.008795,-0.007259,-0.010616,0.080462,-0.479519,-1.012995,0.092852,-0.016535,-0.026803,1.000000,0.000044,-0.000036,-0.000053,-0.999684,0.006971,-0.003997,-0.023802,-0.787717,0.476904,2.724565,0.998835,0.047533,-0.008323,-0.047645,0.998770,-0.013747,0.007660,0.014128,0.999871
04002,2,0,-64.0000,9.309952,-1.618859,-2.645671,0.013736,0.074740,0.000044,0.010418,-0.005921,-0.011890,0.081689,-0.478960,-1.006205,0.093099,-0.016193,-0.026455,1.000000,0.000052,-0.000030,-0.000059,-0.999683,0.006996,-0.003998,-0.023854,-0.790529,0.477081,2.730580,0.998830,0.047638,-0.008327,-0.047750,0.998764,-0.013796,0.007659,0.014178,0.999870
04003,2,0,-64.0000,9.349069,-1.674464,-2.653792,-0.010671,0.117410,0.048227,0.017301,-0.008726,-0.012860,0.079530,-0.482571,-1.016542,0.093491,-0.016748,-0.026535,1.000000,0.000087,-0.000044,-0.000064,-0.999680,0.007029,-0.004008,-0.023948,-0.794278,0.478427,2.741251,0.998821,0.047824,-0.008350,-0.047937,0.998754,-0.013862,0.007677,0.014246,0.999869
04004,2,0,-64.0000,9.330479,-1.633514,-2.578246,0.064498,0.127049,0.003282,0.017301,-0.008725,-0.012862,0.082446,-0.482409,-1.025966,0.093305,-0.016339,-0.025780,1.000000,0.000087,-0.000044,-0.000064,-0.999678,0.007053,-0.004017,-0.024045,-0.796883,0.479633,2.752330,0.998811,0.048017,-0.008371,-0.048130,0.998744,-0.013907,0.007693,0.014294,0.999868
