// General information: 
//  MT Manager version: 2020.5.0 
//  XDA version: 2020.5.0 build 5678 rev 108182 built on 2021-02-04
// Device information: 
//  DeviceId: 00B46A02
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
08622,9.539129,-1.500465,-1.766530,0.039351,-0.088694,0.003503,0.012881,-0.002976,-0.000000,-0.042013,0.792206,-1.280648,0.095392,-0.015004,-0.017665,1.000000,0.000064,-0.000015,-0.000000,0.999983,-0.004051,-0.002825,0.002948,-0.465179,-0.322328,0.339120,0.999967,0.005919,0.005626,-0.005873,0.999950,-0.008119,-0.005673,0.008085,0.999951
08623,9.497427,-1.512347,-1.725190,0.050038,-0.051903,-0.042355,0.006965,0.001400,0.000944,-0.033188,0.786447,-1.275826,0.094974,-0.015122,-0.017253,1.000000,0.000035,0.000007,0.000005,0.999984,-0.004027,-0.002813,0.002955,-0.462424,-0.320983,0.339948,0.999967,0.005933,0.005602,-0.005888,0.999950,-0.008071,-0.005650,0.008037,0.999952
08624,9.558782,-1.524281,-1.694796,0.077178,-0.022248,0.013789,0.000647,0.013165,0.000681,-0.032438,0.784547,-1.273497,0.095587,-0.015242,-0.016954,1.000000,0.000003,0.000066,0.000003,0.999984,-0.003972,-0.002849,0.002878,-0.456111,-0.325128,0.331054,0.999967,0.005778,0.005675,-0.005733,0.999952,-0.007960,-0.005720,0.007928,0.999952
08625,9.508835,-1.595551,-1.778505,-0.042192,-0.032280,-0.008404,-0.009261,0.023307,-0.000014,-0.030931,0.786079,-1.278159,0.095086,-0.015956,-0.017795,1.000000,-0.000046,0.000117,-0.000000,0.999984,-0.003896,-0.002919,0.002789,-0.447416,-0.333205,0.320883,0.999967,0.005600,0.005815,-0.005555,0.999954,-0.007809,-0.005859,0.007776,0.999953
08626,9.567651,-1.613464,-1.823374,-0.072810,-0.052401,0.059488,-0.003981,0.028633,0.001137,-0.024626,0.793979,-1.273204,0.095674,-0.016134,-0.018247,1.000000,-0.000020,0.000143,0.000006,0.999985,-0.003791,-0.003003,0.002712,-0.435304,-0.342972,0.312047,0.999967,0.005446,0.005986,-0.005401,0.999957,-0.007597,-0.006027,0.007565,0.999953
08627,9.484721,-1.636785,-1.738301,-0.051673,0.021336,-0.032219,0.005120,0.025651,-0.001503,-0.030945,0.788844,-1.276896,0.094845,-0.016368,-0.017396,1.000000,0.000026,0.000128,-0.000008,0.999985,-0.003694,-0.003086,0.002692,-0.424312,-0.352542,0.309791,0.999966,0.005407,0.006153,-0.005361,0.999958,-0.007405,-0.006193,0.007372,0.999954
08628,9.501833,-1.565934,-1.742515,-0.003076,-0.033490,-0.026360,0.011202,0.016195,0.002062,-0.026528,0.787945,-1.277004,0.095017,-0.015657,-0.017434,1.000000,0.000056,0.000081,0.000010,0.999985,-0.003616,-0.003120,0.002732,-0.415318,-0.356390,0.314385,0.999966,0.005487,0.006220,-0.005442,0.999959,-0.007248,-0.006260,0.007214,0.999954
08629,9.513176,-1.589953,-1.692890,0.016773,0.016936,-0.020151,0.009277,0.014807,0.004642,-0.031989,0.785406,-1.273863,0.095131,-0.015897,-0.016937,1.000000,0.000046,0.000074,0.000023,0.999985,-0.003530,-0.003143,0.002736,-0.405550,-0.359040,0.314838,0.999965,0.005495,0.006266,-0.005450,0.999960,-0.007078,-0.006305,0.007044,0.999955
08630,9.552257,-1.555417,-1.757865,0.004891,-0.054552,0.023574,0.006922,0.009721,0.007384,-0.030326,0.788501,-1.273024,0.095522,-0.015550,-0.017584,1.000000,0.000035,0.000049,0.000037,0.999985,-0.003457,-0.003136,0.002745,-0.397121,-0.358235,0.315808,0.999965,0.005512,0.006252,-0.005468,0.999961,-0.006931,-0.006290,0.006896,0.999956
08631,9.532780,-1.573815,-1.723979,0.011245,-0.019022,0.001711,0.002902,0.004399,0.007113,-0.030213,0.792122,-1.274815,0.095328,-0.015735,-0.017242,1.000000,0.000015,0.000022,0.000036,0.999986,-0.003406,-0.003113,0.002725,-0.391305,-0.355659,0.313460,0.999966,0.005471,0.006207,-0.005428,0.999962,-0.006829,-0.006245,0.006795,0.999957
08632,9.527138,-1.598218,-1.721477,-0.004552,-0.000806,-0.000240,0.006918,0.002097,0.006460,-0.028613,0.784489,-1.286550,0.095272,-0.015979,-0.017216,1.000000,0.000035,0.000010,0.000032,0.999986,-0.003366,-0.003083,0.002738,-0.386717,-0.352198,0.314913,0.999966,0.005496,0.006147,-0.005455,0.999962,-0.006749,-0.006184,0.006716,0.999958
