// General information: 
//  MT Manager version: 2020.5.0 
//  XDA version: 2020.5.0 build 5678 rev 108182 built on 2021-02-04
// Device information: 
//  DeviceId: 00B46A08
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
08622,9.467429,-0.589498,2.686554,-0.034811,-0.038599,0.046044,-0.016370,-0.002065,0.014379,0.394189,-0.353230,-0.811503,0.094674,-0.005886,0.026867,1.000000,-0.000082,-0.000010,0.000072,0.999989,0.003523,-0.002290,0.002194,0.403186,-0.263259,0.250516,0.999980,0.004372,0.004595,-0.004405,0.999966,0.007037,-0.004564,-0.007057,0.999965
08623,9.479974,-0.604823,2.615679,0.031998,-0.067624,0.039820,-0.011869,0.003751,0.016919,0.395472,-0.344776,-0.804248,0.094801,-0.006039,0.026155,1.000000,-0.000059,0.000019,0.000085,0.999989,0.003445,-0.002266,0.002173,0.394180,-0.260468,0.248104,0.999980,0.004330,0.004546,-0.004361,0.999967,0.006880,-0.004516,-0.006899,0.999966
08624,9.467496,-0.578390,2.667252,-0.013825,-0.029009,0.040293,-0.006430,0.002428,0.013132,0.399535,-0.340862,-0.803399,0.094676,-0.005777,0.026672,1.000000,-0.000032,0.000012,0.000066,0.999989,0.003384,-0.002253,0.002165,0.387217,-0.259033,0.247176,0.999980,0.004314,0.004521,-0.004344,0.999968,0.006758,-0.004492,-0.006778,0.999967
08625,9.483198,-0.580420,2.636555,0.018923,-0.036656,0.047214,-0.005648,-0.001648,0.012901,0.395641,-0.340622,-0.805315,0.094832,-0.005797,0.026366,1.000000,-0.000028,-0.000008,0.000065,0.999990,0.003324,-0.002259,0.002159,0.380345,-0.259728,0.246569,0.999980,0.004303,0.004533,-0.004333,0.999969,0.006638,-0.004504,-0.006658,0.999968
08626,9.483847,-0.552442,2.597439,0.061692,-0.016821,0.035721,-0.005620,0.001367,0.011393,0.387308,-0.341273,-0.797544,0.094839,-0.005518,0.025974,1.000000,-0.000028,0.000007,0.000057,0.999990,0.003271,-0.002254,0.002153,0.374311,-0.259111,0.245847,0.999981,0.004291,0.004522,-0.004320,0.999969,0.006533,-0.004494,-0.006552,0.999968
08627,9.486852,-0.540752,2.637833,0.027316,0.004307,0.048863,-0.001785,0.003673,0.010331,0.395034,-0.343018,-0.801832,0.094869,-0.005402,0.026377,1.000000,-0.000009,0.000018,0.000052,0.999990,0.003234,-0.002240,0.002167,0.370034,-0.257493,0.247495,0.999981,0.004320,0.004494,-0.004349,0.999970,0.006458,-0.004466,-0.006478,0.999969
08628,9.486345,-0.556507,2.657659,0.005512,-0.005818,0.054608,-0.001068,0.002635,0.012394,0.393756,-0.337345,-0.803748,0.094864,-0.005559,0.026575,1.000000,-0.000005,0.000013,0.000062,0.999990,0.003184,-0.002228,0.002183,0.364340,-0.256056,0.249392,0.999981,0.004353,0.004469,-0.004381,0.999970,0.006359,-0.004441,-0.006378,0.999970
08629,9.486625,-0.542932,2.638201,0.026757,0.003992,0.048865,0.002803,-0.001113,0.010546,0.394650,-0.340419,-0.801720,0.094866,-0.005425,0.026382,1.000000,0.000014,-0.000006,0.000053,0.999990,0.003147,-0.002235,0.002216,0.360007,-0.256960,0.253160,0.999980,0.004418,0.004485,-0.004447,0.999970,0.006283,-0.004457,-0.006303,0.999970
08630,9.505127,-0.546448,2.667194,0.003872,0.007734,0.074673,-0.001812,0.000657,0.011840,0.394847,-0.340602,-0.799997,0.095052,-0.005459,0.026672,1.000000,-0.000009,0.000003,0.000059,0.999990,0.003096,-0.002233,0.002229,0.354247,-0.256696,0.254626,0.999980,0.004444,0.004480,-0.004472,0.999971,0.006183,-0.004453,-0.006203,0.999971
08631,9.470984,-0.529917,2.649686,0.014744,0.021099,0.036197,0.000424,0.006591,0.013503,0.392238,-0.341661,-0.798219,0.094711,-0.005293,0.026494,1.000000,0.000002,0.000033,0.000068,0.999990,0.003050,-0.002199,0.002252,0.348987,-0.252820,0.257303,0.999980,0.004491,0.004413,-0.004518,0.999971,0.006091,-0.004385,-0.006111,0.999972
