// General information: 
//  MT Manager version: 2020.3.0 
//  XDA version: 2020.3.0 build 5439 rev 106958 built on 2020-11-10
// Device information: 
//  DeviceId: 00B46A09
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
30829,2,0,-57.0000,9.642156,0.522051,-1.798874,0.020560,0.068418,0.009459,0.030183,-0.001002,-0.018268,0.338485,0.370950,-1.154061,0.096422,0.005214,-0.017987,1.000000,0.000151,-0.000005,-0.000091,0.999992,0.003572,0.001711,-0.000327,0.409288,0.196242,-0.036804,0.999994,-0.000642,-0.003425,0.000667,0.999974,0.007143,0.003420,-0.007146,0.999969
30830,2,0,-58.0000,9.615502,0.545114,-1.794205,0.012707,0.046480,-0.016163,0.031527,-0.002816,-0.024667,0.335685,0.371058,-1.152279,0.096156,0.005442,-0.017940,1.000000,0.000158,-0.000014,-0.000123,0.999992,0.003503,0.001768,-0.000161,0.401362,0.202705,-0.017775,0.999994,-0.000310,-0.003538,0.000335,0.999975,0.007005,0.003536,-0.007006,0.999969
30831,2,0,-58.0000,9.657566,0.617169,-1.754122,0.033878,-0.033866,0.022155,0.027611,0.000498,-0.024098,0.344471,0.373475,-1.149991,0.096576,0.006162,-0.017541,1.000000,0.000138,0.000002,-0.000120,0.999992,0.003426,0.001809,-0.000020,0.392574,0.207248,-0.001535,0.999993,-0.000027,-0.003617,0.000052,0.999977,0.006852,0.003617,-0.006852,0.999970
30832,2,0,-58.0000,9.616188,0.621492,-1.745265,0.033647,-0.039281,-0.019802,0.025951,-0.004416,-0.023620,0.339463,0.376867,-1.153752,0.096163,0.006206,-0.017450,1.000000,0.000130,-0.000022,-0.000118,0.999993,0.003357,0.001874,0.000132,0.384736,0.214708,0.015876,0.999993,0.000277,-0.003747,-0.000252,0.999977,0.006715,0.003749,-0.006714,0.999970
30833,2,0,-58.0000,9.645320,0.661314,-1.754274,0.018527,-0.072432,0.012862,0.025318,-0.004360,-0.021431,0.337886,0.370950,-1.157177,0.096454,0.006605,-0.017540,1.000000,0.000127,-0.000022,-0.000107,0.999993,0.003299,0.001932,0.000259,0.378057,0.221343,0.030384,0.999992,0.000530,-0.003863,-0.000505,0.999978,0.006598,0.003867,-0.006596,0.999971
30834,2,0,-58.0000,9.652727,0.664572,-1.721160,0.050433,-0.085802,0.014280,0.018378,-0.003508,-0.021278,0.337792,0.373435,-1.155668,0.096528,0.006637,-0.017209,1.000000,0.000092,-0.000018,-0.000106,0.999993,0.003232,0.001988,0.000359,0.370446,0.227651,0.041842,0.999992,0.000730,-0.003973,-0.000705,0.999979,0.006465,0.003978,-0.006463,0.999971
30835,2,0,-58.0000,9.667180,0.685312,-1.725928,0.042881,-0.102461,0.030610,0.009700,-0.005869,-0.018622,0.333585,0.375656,-1.157096,0.096673,0.006845,-0.017256,1.000000,0.000048,-0.000029,-0.000093,0.999993,0.003174,0.002049,0.000406,0.363821,0.234596,0.047221,0.999991,0.000824,-0.004094,-0.000798,0.999980,0.006350,0.004100,-0.006346,0.999971
30836,2,0,-58.0000,9.708181,0.684184,-1.735705,0.043187,-0.097352,0.072565,0.013376,-0.004097,-0.013104,0.339421,0.378724,-1.153495,0.097083,0.006837,-0.017355,1.000000,0.000067,-0.000020,-0.000066,0.999993,0.003141,0.002090,0.000455,0.360080,0.239346,0.052838,0.999991,0.000922,-0.004177,-0.000896,0.999980,0.006284,0.004183,-0.006281,0.999972
30837,2,0,-58.0000,9.676314,0.676335,-1.746030,0.030900,-0.085293,0.042710,0.006254,0.000781,-0.016188,0.338085,0.371551,-1.158707,0.096764,0.006756,-0.017460,1.000000,0.000031,0.000004,-0.000081,0.999993,0.003080,0.002116,0.000484,0.353051,0.242247,0.056256,0.999991,0.000982,-0.004228,-0.000956,0.999981,0.006162,0.004234,-0.006158,0.999972
30838,2,0,-58.0000,9.634055,0.607037,-1.786570,0.009794,-0.005247,0.004401,0.006538,-0.005571,-0.007690,0.336868,0.370519,-1.157479,0.096341,0.006067,-0.017863,1.000000,0.000033,-0.000028,-0.000038,0.999993,0.003068,0.002156,0.000508,0.351653,0.246937,0.058969,0.999990,0.001029,-0.004310,-0.001003,0.999981,0.006137,0.004316,-0.006133,0.999972
30839,2,0,-58.0000,9.631488,0.636730,-1.805655,-0.017633,-0.026170,0.007210,0.004620,-0.004761,-0.008421,0.341150,0.367298,-1.155071,0.096316,0.006364,-0.018054,1.000000,0.000023,-0.000024,-0.000042,0.999993,0.003050,0.002194,0.000521,0.349623,0.251272,0.060479,0.999990,0.001056,-0.004386,-0.001029,0.999981,0.006102,0.004392,-0.006097,0.999972
30840,2,0,-58.0000,9.638945,0.639058,-1.772661,0.014257,-0.039616,0.008627,0.003516,-0.008036,-0.008102,0.332626,0.373655,-1.160889,0.096390,0.006387,-0.017723,1.000000,0.000018,-0.000040,-0.000041,0.999993,0.003041,0.002247,0.000546,0.348623,0.257353,0.063350,0.999989,0.001106,-0.004492,-0.001078,0.999981,0.006085,0.004498,-0.006080,0.999971
30841,2,0,-58.0000,9.616518,0.619040,-1.802631,-0.010014,-0.010063,-0.009121,0.000793,-0.003456,-0.006239,0.339176,0.375669,-1.161155,0.096166,0.006187,-0.018025,1.000000,0.000004,-0.000017,-0.000031,0.999993,0.003027,0.002275,0.000539,0.347063,0.260564,0.062528,0.999989,0.001091,-0.004548,-0.001064,0.999981,0.006057,0.004554,-0.006052,0.999971
30842,2,0,-58.0000,9.633520,0.609681,-1.788552,0.009834,-0.005973,0.004401,-0.003677,-0.001776,-0.005516,0.333815,0.375656,-1.155897,0.096336,0.006094,-0.017885,1.000000,-0.000018,-0.000009,-0.000028,0.999993,0.003010,0.002292,0.000497,0.345108,0.262472,0.057713,0.999989,0.001007,-0.004581,-0.000980,0.999981,0.006023,0.004587,-0.006019,0.999971
